id;cardType;language;label;description;link;actorType;networkGain;memoryGain;cpuGain;storageGain;difficulty
33;25kg;fr;Ne pas hésiter à utiliser un cache applicatif local pour les données appropriées;"Une application web peut sauvegarder et lire des données dans le local store du navigateur ou dans la base de données IndexedDB hébergée par le navigateur.
Dans les deux cas, ce stockage local peut être utilisé en tant que cache applicatif ou pour stocker des préférences utilisateur. Il permet ainsi d'économiser des requêtes réseau, optimiser l'accès à ces données et donc le CPU utilisé.";;Architecte;1;0;1;1;2
33;25kg;es;No dudes en usar una caché de aplicación local para los datos apropiados;"Una aplicación web puede guardar y leer datos en el local storage del navegador o en la base de datos IndexedDB alojada por el navegador.
En ambos casos, este almacenamiento local puede usarse como caché de aplicación o para almacenar preferencias de usuario. Permite así ahorrar peticiones de red, optimizar el acceso a estos datos y, por lo tanto, la CPU utilizada.";;Arquitecto;1;0;1;1;2
33;25kg;pt;Não hesite em usar um cache de aplicativo local para os dados apropriados;"Uma aplicação web pode guardar e ler dados no local store do navegador ou na base de dados IndexedDB hospedada pelo navegador.
Em ambos os casos, este armazenamento local pode ser utilizado como cache de aplicação ou para armazenar preferências do utilizador. Permite assim economizar requisições de rede, otimizar o acesso a esses dados e, portanto, a CPU utilizada.";;Arquiteto;1;0;1;1;2
33;25kg;de;Zögern Sie nicht, einen lokalen Anwendungscache für geeignete Daten zu verwenden;"Eine Webanwendung kann Daten im Local Store des Browsers oder in der vom Browser gehosteten IndexedDB-Datenbank speichern und lesen.
In beiden Fällen kann dieser lokale Speicher als Anwendungscache oder zum Speichern von Benutzereinstellungen verwendet werden. Dies spart Netzwerkanfragen, optimiert den Zugriff auf diese Daten und somit die verwendete CPU.";;Architekt;1;0;1;1;2
35;25kg;fr;Favoriser les polices standards;"Préférer les polices standards, car elles sont déjà présentes sur l’ordinateur de l’utilisateur. On économise ainsi de la bande passante, tout en accélérant l’affichage du site.
S’il n’est vraiment pas possible d’utiliser une police standard :
- Utiliser un faux-gras via la propriété css -webkit-text-stroke
- Ne charger que les variations de la police utilisées (ex: regular, bold, etc.)
- Optimiser la police en retirant les caractères 0 nécessaires";;Développeur;1;0;0;1;1
35;25kg;es;Favorecer las fuentes estándar;"Prefiere las fuentes estándar, ya que ya están presentes en el ordenador del usuario. Así se ahorra ancho de banda, a la vez que se acelera la visualización del sitio.
Si realmente no es posible usar una fuente estándar:
- Usa negrita falsa mediante la propiedad css -webkit-text-stroke
- Carga solo las variaciones de la fuente utilizadas (ej: regular, bold, etc.)
- Optimiza la fuente eliminando los caracteres innecesarios";;Desarrollador;1;0;0;1;1
35;25kg;pt;Favorecer as fontes padrão;"Prefira as fontes padrão, pois elas já estão presentes no computador do utilizador. Economiza-se assim largura de banda, ao mesmo tempo que se acelera a exibição do site.
Se realmente não for possível usar uma fonte padrão:
- Use negrito falso através da propriedade css -webkit-text-stroke
- Carregue apenas as variações da fonte utilizadas (ex: regular, bold, etc.)
- Otimize a fonte removendo os caracteres desnecessários";;Desenvolvedor;1;0;0;1;1
35;25kg;de;Standard-Schriftarten bevorzugen;"Bevorzugen Sie Standard-Schriftarten, da diese bereits auf dem Computer des Benutzers vorhanden sind. Dadurch wird Bandbreite gespart und die Anzeige der Website beschleunigt.
Wenn es wirklich nicht möglich ist, eine Standardschriftart zu verwenden:
- Verwenden Sie Fettdruck-Simulation über die CSS-Eigenschaft -webkit-text-stroke
- Laden Sie nur die verwendeten Schriftschnitte (z.B. regular, bold, etc.)
- Optimieren Sie die Schriftart, indem Sie unnötige Zeichen entfernen";;Entwickler;1;0;0;1;1
37;25kg;fr;Favoriser un design simple, épuré, adapté au web;Privilégiez un design simple et épuré, réalisable uniquement en HTML5 et CSS3. Un site simple et adapté aux besoins des utilisateurs permetira, en plus de leur offrir une expérience fluide et agréable, d’économiser des ressources et de la bande passante.;;Responsable Produit;1;1;1;0;3
37;25kg;es;Favorecer un diseño simple, depurado, adaptado a la web;Prioriza un diseño simple y depurado, realizable únicamente con HTML5 y CSS3. Un sitio simple y adaptado a las necesidades de los usuarios permitirá, además de ofrecerles una experiencia fluida y agradable, ahorrar recursos y ancho de banda.;;Propietario del Producto;1;1;1;0;3
